epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5947.94,1.29669,1.80997,1.57421,0.64383,0.53638,0.60289,0.38307,1.27004,1.39604,1.54463,0.008614,0.008614,0.008614
44,6029.46,1.29178,1.79238,1.57106,0.64543,0.5486,0.60796,0.38779,1.26827,1.38373,1.54185,0.008581,0.008581,0.008581
45,6109.07,1.28233,1.78478,1.56394,0.65094,0.54712,0.60913,0.38803,1.26295,1.37491,1.53536,0.008548,0.008548,0.008548
46,6188.36,1.28348,1.78184,1.56472,0.65525,0.54691,0.61128,0.39149,1.25934,1.36863,1.53156,0.008515,0.008515,0.008515
47,6266.22,1.27775,1.76268,1.55837,0.66308,0.54265,0.61484,0.39441,1.25293,1.36055,1.52678,0.008482,0.008482,0.008482
48,6346.02,1.27306,1.75288,1.55277,0.65246,0.55688,0.61839,0.39662,1.24805,1.35166,1.52106,0.008449,0.008449,0.008449
49,6424.4,1.27027,1.74519,1.55132,0.66324,0.55471,0.62117,0.39941,1.24559,1.34525,1.51728,0.008416,0.008416,0.008416
50,6504.64,1.26091,1.74523,1.5474,0.66046,0.56022,0.62468,0.40317,1.24209,1.3383,1.514,0.008383,0.008383,0.008383
51,6582.92,1.25741,1.72863,1.54357,0.6571,0.56736,0.62915,0.40659,1.23989,1.33064,1.51299,0.00835,0.00835,0.00835
52,6661.6,1.25762,1.72487,1.54043,0.65982,0.57015,0.63228,0.40997,1.23534,1.32508,1.50909,0.008317,0.008317,0.008317
53,6741.33,1.25616,1.72009,1.53993,0.66797,0.57258,0.6368,0.41284,1.2311,1.31838,1.50444,0.008284,0.008284,0.008284
54,6820.42,1.24986,1.71452,1.53432,0.67031,0.57351,0.64027,0.41557,1.22741,1.30983,1.50053,0.008251,0.008251,0.008251
55,6898.1,1.24262,1.70421,1.53209,0.67061,0.57953,0.64223,0.41698,1.22409,1.30313,1.49738,0.008218,0.008218,0.008218
56,6976.69,1.24228,1.69942,1.52815,0.66474,0.5864,0.64458,0.41897,1.22134,1.29624,1.49398,0.008185,0.008185,0.008185
57,7055.49,1.24112,1.68782,1.52458,0.6674,0.58481,0.64598,0.42119,1.21873,1.29216,1.49108,0.008152,0.008152,0.008152
58,7134.06,1.23992,1.67559,1.52135,0.67148,0.58151,0.64725,0.42276,1.21572,1.28858,1.48802,0.008119,0.008119,0.008119
59,7213.97,1.23103,1.6675,1.51513,0.67283,0.5839,0.64971,0.42448,1.21308,1.28381,1.485,0.008086,0.008086,0.008086
60,7293.15,1.23716,1.66578,1.51653,0.68032,0.58101,0.65151,0.42675,1.21076,1.27899,1.48286,0.008053,0.008053,0.008053
61,7371.31,1.22529,1.65359,1.50746,0.68425,0.58328,0.65299,0.428,1.2083,1.27497,1.48009,0.00802,0.00802,0.00802
62,7450.5,1.22307,1.64699,1.50752,0.68004,0.59054,0.65461,0.42938,1.20631,1.27059,1.47779,0.007987,0.007987,0.007987
63,7529.58,1.22209,1.63852,1.50491,0.6741,0.59475,0.65585,0.43106,1.20469,1.26655,1.47569,0.007954,0.007954,0.007954
64,7607.69,1.22117,1.63397,1.50296,0.68456,0.59002,0.65688,0.43157,1.20302,1.26352,1.4737,0.007921,0.007921,0.007921
65,7686.21,1.21311,1.63569,1.50012,0.68871,0.59008,0.6578,0.43314,1.20144,1.26055,1.47224,0.007888,0.007888,0.007888
66,7763.92,1.2151,1.62054,1.49678,0.68975,0.59029,0.65894,0.43374,1.19972,1.25736,1.47046,0.007855,0.007855,0.007855
67,7841.06,1.21333,1.61683,1.49857,0.68982,0.59192,0.66031,0.43486,1.19799,1.25482,1.46869,0.007822,0.007822,0.007822
68,7918.75,1.20871,1.60919,1.49068,0.68964,0.59418,0.66084,0.43517,1.19644,1.25246,1.46696,0.007789,0.007789,0.007789
69,7997.49,1.20373,1.60411,1.48906,0.69016,0.59535,0.66178,0.43602,1.19479,1.24966,1.46501,0.007756,0.007756,0.007756
70,8075.69,1.20439,1.60293,1.48562,0.69331,0.59634,0.66318,0.43716,1.19333,1.24662,1.4632,0.007723,0.007723,0.007723
71,8153.62,1.19893,1.59579,1.48385,0.69492,0.59667,0.66401,0.43802,1.19227,1.24388,1.46205,0.00769,0.00769,0.00769
72,8232.69,1.20355,1.58897,1.4865,0.69321,0.60075,0.66516,0.43879,1.19098,1.242,1.46056,0.007657,0.007657,0.007657
73,8311.13,1.19495,1.58116,1.47931,0.69409,0.60084,0.66648,0.43974,1.18955,1.23927,1.45896,0.007624,0.007624,0.007624
74,8389.77,1.19474,1.5805,1.47437,0.69193,0.60209,0.66729,0.44111,1.1883,1.23674,1.45752,0.007591,0.007591,0.007591
75,8468.17,1.19299,1.57981,1.47865,0.69749,0.59981,0.66819,0.44192,1.18679,1.2348,1.45611,0.007558,0.007558,0.007558
76,8545.66,1.18398,1.57143,1.47072,0.69726,0.60203,0.66946,0.44286,1.1858,1.23266,1.45469,0.007525,0.007525,0.007525
77,8622.71,1.1916,1.56802,1.47695,0.69473,0.6063,0.6703,0.44395,1.18468,1.23069,1.45345,0.007492,0.007492,0.007492
78,8700.37,1.18767,1.56283,1.46731,0.69562,0.60736,0.67154,0.44529,1.18359,1.22839,1.45214,0.007459,0.007459,0.007459
79,8778.22,1.18056,1.55351,1.46395,0.70039,0.60359,0.67234,0.44622,1.18242,1.22631,1.45076,0.007426,0.007426,0.007426
80,8855.56,1.18003,1.55679,1.46767,0.69246,0.60827,0.67294,0.44687,1.18181,1.22425,1.44981,0.007393,0.007393,0.007393
81,8933.61,1.17631,1.53717,1.46508,0.69385,0.60948,0.67409,0.44759,1.18105,1.22194,1.44875,0.00736,0.00736,0.00736
82,9011.72,1.17255,1.53889,1.45915,0.69298,0.61047,0.67474,0.44879,1.17978,1.21977,1.44756,0.007327,0.007327,0.007327
83,9088.31,1.16748,1.53132,1.45508,0.6929,0.61199,0.67506,0.44906,1.17896,1.21747,1.44646,0.007294,0.007294,0.007294
84,9166.21,1.17246,1.51921,1.45818,0.69282,0.61179,0.67605,0.45014,1.17798,1.21544,1.44535,0.007261,0.007261,0.007261
85,9243.4,1.16562,1.52978,1.45492,0.68958,0.6139,0.67703,0.4507,1.17707,1.2135,1.44425,0.007228,0.007228,0.007228
86,9320.58,1.17076,1.51582,1.45574,0.68962,0.61292,0.6773,0.45109,1.17635,1.21171,1.4434,0.007195,0.007195,0.007195
87,9399.07,1.1643,1.5213,1.45297,0.6888,0.61407,0.678,0.45162,1.1757,1.20994,1.44245,0.007162,0.007162,0.007162
88,9476.17,1.15735,1.50882,1.44877,0.69249,0.61322,0.67893,0.4525,1.1749,1.20833,1.44145,0.007129,0.007129,0.007129
89,9552.6,1.16747,1.51318,1.45351,0.69348,0.6146,0.67968,0.45359,1.17419,1.20653,1.44051,0.007096,0.007096,0.007096
90,9630.9,1.16034,1.50452,1.44578,0.69612,0.61473,0.68036,0.45457,1.17332,1.20448,1.43935,0.007063,0.007063,0.007063
91,9708.24,1.15231,1.4926,1.44014,0.69628,0.61402,0.68081,0.45496,1.17254,1.20255,1.43819,0.00703,0.00703,0.00703
92,9786.27,1.15834,1.49795,1.44146,0.6972,0.6141,0.68181,0.45578,1.17186,1.20076,1.43727,0.006997,0.006997,0.006997
93,9862.11,1.15007,1.49145,1.44049,0.7006,0.61244,0.68243,0.4567,1.17108,1.19912,1.43626,0.006964,0.006964,0.006964
94,9940.03,1.15136,1.48685,1.43935,0.70281,0.61134,0.68314,0.45707,1.17012,1.19709,1.43498,0.006931,0.006931,0.006931
95,10018.2,1.14846,1.48967,1.44036,0.70206,0.6129,0.68413,0.45777,1.16921,1.19536,1.43405,0.006898,0.006898,0.006898
96,10096.2,1.14985,1.47876,1.43579,0.69842,0.61666,0.68536,0.45858,1.16825,1.19319,1.43285,0.006865,0.006865,0.006865
97,10174.3,1.15052,1.47604,1.43511,0.70162,0.61583,0.6858,0.4595,1.16774,1.1911,1.43213,0.006832,0.006832,0.006832
98,10252.1,1.14853,1.47584,1.4343,0.70619,0.61474,0.68719,0.46025,1.16678,1.18931,1.4311,0.006799,0.006799,0.006799
99,10329.9,1.13741,1.46374,1.42849,0.706,0.61539,0.68745,0.46064,1.1661,1.1877,1.4302,0.006766,0.006766,0.006766
100,10407.4,1.14512,1.46964,1.43173,0.70798,0.61536,0.68837,0.46169,1.16551,1.18607,1.42928,0.006733,0.006733,0.006733
101,10485.2,1.13695,1.45023,1.42565,0.70522,0.61741,0.68928,0.46238,1.16478,1.18437,1.42834,0.0067,0.0067,0.0067
102,10562.7,1.14241,1.4609,1.43081,0.70714,0.61769,0.68992,0.46304,1.16392,1.18266,1.42743,0.006667,0.006667,0.006667
103,10641,1.14477,1.45607,1.42979,0.70816,0.61864,0.69072,0.46366,1.16322,1.18126,1.42647,0.006634,0.006634,0.006634
104,10718.2,1.13375,1.45439,1.41993,0.71219,0.61588,0.69125,0.46438,1.16245,1.17961,1.42529,0.006601,0.006601,0.006601
105,10795.3,1.14105,1.4488,1.42825,0.71349,0.6182,0.69214,0.46509,1.16201,1.17805,1.42453,0.006568,0.006568,0.006568
106,10873.3,1.13489,1.44356,1.42302,0.71273,0.61985,0.69281,0.46592,1.16159,1.17662,1.42372,0.006535,0.006535,0.006535
107,10950.7,1.13112,1.43815,1.41568,0.71434,0.6187,0.69352,0.46632,1.16111,1.17548,1.42304,0.006502,0.006502,0.006502
108,11028.6,1.1337,1.44504,1.42245,0.71741,0.61794,0.69423,0.46695,1.1607,1.17398,1.4224,0.006469,0.006469,0.006469
109,11106.8,1.12933,1.43549,1.41575,0.71858,0.61841,0.69496,0.46769,1.16014,1.17242,1.42154,0.006436,0.006436,0.006436
110,11184,1.12796,1.42702,1.417,0.7198,0.61856,0.69558,0.4685,1.15956,1.17081,1.42052,0.006403,0.006403,0.006403
111,11260.1,1.1293,1.42837,1.41581,0.72232,0.61867,0.69614,0.46896,1.15896,1.16934,1.41969,0.00637,0.00637,0.00637
112,11336.7,1.12648,1.42315,1.41495,0.72409,0.61823,0.697,0.46981,1.1585,1.16791,1.41871,0.006337,0.006337,0.006337
113,11414.1,1.12531,1.42031,1.4143,0.72567,0.6177,0.69802,0.47037,1.15774,1.16663,1.41784,0.006304,0.006304,0.006304
114,11490.9,1.12177,1.42329,1.41004,0.72421,0.6191,0.6987,0.47132,1.15701,1.16487,1.41684,0.006271,0.006271,0.006271
115,11568,1.12169,1.42215,1.41076,0.72379,0.62097,0.69967,0.47217,1.15641,1.16324,1.41589,0.006238,0.006238,0.006238
116,11643.3,1.12015,1.40328,1.40919,0.72145,0.62411,0.70033,0.47233,1.15593,1.16178,1.41507,0.006205,0.006205,0.006205
117,11719.6,1.11596,1.41172,1.41005,0.72127,0.62467,0.70083,0.47337,1.15549,1.16,1.41435,0.006172,0.006172,0.006172
118,11796.3,1.11823,1.4089,1.40555,0.72258,0.62514,0.70182,0.47408,1.15499,1.15849,1.41362,0.006139,0.006139,0.006139
119,11873.3,1.11515,1.39758,1.40511,0.72459,0.62607,0.70266,0.47477,1.15412,1.15722,1.41272,0.006106,0.006106,0.006106
120,11950.2,1.11058,1.39348,1.40156,0.72493,0.62801,0.70314,0.47586,1.15336,1.15539,1.41177,0.006073,0.006073,0.006073
121,12026.8,1.11097,1.40098,1.40216,0.72476,0.62856,0.70405,0.47649,1.15237,1.15391,1.41062,0.00604,0.00604,0.00604
122,12103.2,1.11358,1.39708,1.40345,0.7221,0.63066,0.70437,0.47715,1.15173,1.15237,1.40975,0.006007,0.006007,0.006007
123,12179.6,1.11167,1.39011,1.40001,0.72145,0.63066,0.70453,0.47763,1.15117,1.15118,1.40895,0.005974,0.005974,0.005974
124,12256,1.10962,1.39938,1.40107,0.72263,0.63011,0.70478,0.47814,1.15061,1.15014,1.40813,0.005941,0.005941,0.005941
125,12332.6,1.10983,1.38405,1.39761,0.7213,0.63315,0.70589,0.4788,1.15017,1.14868,1.40742,0.005908,0.005908,0.005908
126,12409.4,1.10999,1.38292,1.39636,0.72165,0.6341,0.70711,0.47966,1.14979,1.14729,1.40672,0.005875,0.005875,0.005875
127,12485.4,1.10663,1.3839,1.39629,0.72038,0.63668,0.70776,0.48031,1.14907,1.14562,1.40563,0.005842,0.005842,0.005842
128,12561.8,1.10083,1.382,1.39397,0.72472,0.63593,0.70837,0.48087,1.14851,1.14441,1.40482,0.005809,0.005809,0.005809
129,12638.5,1.09946,1.37148,1.39214,0.72408,0.63679,0.70939,0.48207,1.14792,1.14318,1.40418,0.005776,0.005776,0.005776
130,12714.7,1.10072,1.37372,1.39184,0.72742,0.63637,0.71024,0.48284,1.1472,1.14138,1.4031,0.005743,0.005743,0.005743
131,12791.4,1.09952,1.379,1.39136,0.73151,0.63584,0.71085,0.4834,1.1463,1.13968,1.4021,0.00571,0.00571,0.00571
132,12868.1,1.09314,1.36852,1.38516,0.73,0.63724,0.71171,0.48445,1.14578,1.13834,1.4013,0.005677,0.005677,0.005677
133,12944.8,1.09991,1.3713,1.38792,0.73125,0.63767,0.7125,0.48521,1.14529,1.13681,1.4005,0.005644,0.005644,0.005644
134,13021.5,1.09311,1.35936,1.38603,0.73107,0.63816,0.71289,0.48567,1.14491,1.13564,1.39983,0.005611,0.005611,0.005611
135,13097.9,1.09173,1.35205,1.3826,0.72975,0.6405,0.71354,0.48631,1.14413,1.13411,1.39885,0.005578,0.005578,0.005578
136,13174,1.09214,1.35697,1.38495,0.72903,0.64158,0.71429,0.48718,1.14335,1.13294,1.39799,0.005545,0.005545,0.005545
137,13250.2,1.09443,1.35254,1.38239,0.73152,0.64168,0.71519,0.48766,1.14265,1.13156,1.39709,0.005512,0.005512,0.005512
138,13326.4,1.09363,1.35807,1.38398,0.73275,0.64248,0.71586,0.48829,1.14209,1.13029,1.39644,0.005479,0.005479,0.005479
139,13403,1.08858,1.34873,1.38025,0.73269,0.64404,0.71596,0.4888,1.14138,1.12871,1.39557,0.005446,0.005446,0.005446
140,13478.1,1.08633,1.34594,1.38034,0.73202,0.64427,0.71661,0.48927,1.14092,1.12735,1.3948,0.005413,0.005413,0.005413
141,13553.8,1.08584,1.34116,1.37847,0.73281,0.64419,0.71697,0.48993,1.14035,1.12583,1.39417,0.00538,0.00538,0.00538
142,13630.3,1.08814,1.34871,1.37946,0.73357,0.6443,0.71764,0.4903,1.13985,1.12438,1.39346,0.005347,0.005347,0.005347
143,13707,1.08337,1.33994,1.37597,0.73411,0.64439,0.71854,0.49081,1.13927,1.12302,1.39267,0.005314,0.005314,0.005314
144,13783.3,1.08316,1.3293,1.37175,0.7379,0.64367,0.7194,0.49139,1.13887,1.12186,1.39209,0.005281,0.005281,0.005281
145,13860.1,1.08258,1.32775,1.376,0.73834,0.64294,0.71939,0.49171,1.13843,1.12094,1.39143,0.005248,0.005248,0.005248
146,13937.2,1.08579,1.3313,1.37451,0.73936,0.64269,0.71995,0.49206,1.13793,1.11948,1.39067,0.005215,0.005215,0.005215
147,14013.8,1.07636,1.3264,1.37054,0.74162,0.64136,0.72064,0.4929,1.1374,1.1182,1.3899,0.005182,0.005182,0.005182
