epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6171.86,1.12068,1.51102,1.45224,0.72694,0.63741,0.71444,0.50599,1.05098,1.09648,1.36678,0.008614,0.008614,0.008614
44,6309.34,1.11979,1.49638,1.4493,0.73458,0.6375,0.71872,0.50872,1.04514,1.08982,1.36129,0.008581,0.008581,0.008581
45,6446.14,1.11268,1.48887,1.4444,0.7278,0.63716,0.7206,0.51176,1.04358,1.08033,1.36126,0.008548,0.008548,0.008548
46,6532.47,1.11259,1.49472,1.44346,0.74024,0.63179,0.72138,0.51368,1.0408,1.07414,1.35829,0.008515,0.008515,0.008515
47,6623.08,1.11156,1.47485,1.4432,0.74025,0.636,0.72234,0.51565,1.04082,1.06674,1.35783,0.008482,0.008482,0.008482
48,6708.65,1.10517,1.46568,1.43647,0.73043,0.64831,0.72665,0.51874,1.03628,1.06124,1.35246,0.008449,0.008449,0.008449
49,6794.52,1.10145,1.45539,1.43359,0.73493,0.64367,0.72984,0.52161,1.034,1.05629,1.3492,0.008416,0.008416,0.008416
50,6880.69,1.09313,1.45946,1.42794,0.73965,0.64416,0.7314,0.52295,1.03237,1.05087,1.34754,0.008383,0.008383,0.008383
51,6966.54,1.09473,1.44906,1.42876,0.74827,0.63978,0.73366,0.524,1.02897,1.0472,1.3448,0.00835,0.00835,0.00835
52,7052.33,1.09204,1.44331,1.42653,0.73854,0.6495,0.73532,0.52674,1.02724,1.04289,1.34254,0.008317,0.008317,0.008317
53,7139.23,1.09584,1.4378,1.42685,0.73595,0.65697,0.73703,0.52823,1.02549,1.03862,1.34077,0.008284,0.008284,0.008284
54,7225.41,1.08608,1.43236,1.42194,0.74051,0.65494,0.7385,0.52923,1.02301,1.03452,1.33863,0.008251,0.008251,0.008251
55,7311.91,1.08396,1.43092,1.42214,0.7431,0.65443,0.73998,0.53148,1.01943,1.02892,1.33496,0.008218,0.008218,0.008218
56,7435.59,1.08471,1.42586,1.41926,0.74677,0.65595,0.74081,0.53227,1.01831,1.02504,1.33356,0.008185,0.008185,0.008185
57,7536.75,1.08033,1.4123,1.41367,0.75255,0.65099,0.74224,0.53369,1.01631,1.02162,1.33096,0.008152,0.008152,0.008152
58,7622.96,1.07725,1.40497,1.41316,0.75549,0.6501,0.74325,0.53483,1.01485,1.01907,1.32929,0.008119,0.008119,0.008119
59,7714.77,1.07237,1.39712,1.40702,0.75633,0.65118,0.7437,0.53602,1.01291,1.01679,1.32737,0.008086,0.008086,0.008086
60,7800.68,1.07702,1.39775,1.40768,0.75505,0.65396,0.74417,0.53638,1.01172,1.01473,1.3261,0.008053,0.008053,0.008053
61,7896.79,1.06887,1.38175,1.40247,0.76376,0.64915,0.74479,0.53771,1.01063,1.01275,1.32497,0.00802,0.00802,0.00802
62,8023.54,1.06872,1.38512,1.40224,0.76113,0.65331,0.74565,0.53875,1.00956,1.00978,1.32368,0.007987,0.007987,0.007987
63,8160.05,1.06522,1.37562,1.3999,0.75518,0.6609,0.74638,0.53946,1.00849,1.00657,1.32242,0.007954,0.007954,0.007954
64,8300.68,1.06824,1.37236,1.39944,0.75282,0.6615,0.74775,0.54029,1.00747,1.00403,1.32141,0.007921,0.007921,0.007921
65,8442.13,1.05676,1.37078,1.39251,0.75495,0.66302,0.74909,0.54095,1.00605,1.0023,1.31987,0.007888,0.007888,0.007888
66,8582.77,1.06081,1.35865,1.39261,0.75689,0.66389,0.75071,0.54206,1.00494,0.99948,1.31866,0.007855,0.007855,0.007855
67,8725.11,1.06107,1.35795,1.3913,0.7625,0.65945,0.75165,0.54317,1.0039,0.99703,1.31738,0.007822,0.007822,0.007822
68,8865.76,1.056,1.35282,1.38701,0.75934,0.66482,0.75239,0.54395,1.00313,0.9944,1.31647,0.007789,0.007789,0.007789
69,9006.69,1.0499,1.3363,1.37877,0.76147,0.66201,0.7528,0.54489,1.00209,0.99222,1.31521,0.007756,0.007756,0.007756
70,9139.37,1.05249,1.34491,1.381,0.76247,0.66302,0.75373,0.54556,1.00084,0.99036,1.31393,0.007723,0.007723,0.007723
71,9275.48,1.04823,1.33887,1.38155,0.76634,0.66153,0.75388,0.54621,1.00028,0.98843,1.31333,0.00769,0.00769,0.00769
