epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,101646,1.27737,1.72038,1.40173,0.55342,0.42434,0.44739,0.31226,1.17492,1.37732,1.31744,0.008614,0.008614,0.008614
44,104204,1.27538,1.71117,1.39992,0.54888,0.42763,0.4489,0.3136,1.17369,1.37269,1.31537,0.008581,0.008581,0.008581
45,106769,1.2742,1.71359,1.39857,0.55057,0.43113,0.45076,0.31511,1.17173,1.36789,1.31296,0.008548,0.008548,0.008548
46,109332,1.27164,1.70899,1.39648,0.55149,0.43176,0.45278,0.31636,1.1697,1.36376,1.31038,0.008515,0.008515,0.008515
47,112051,1.2719,1.70069,1.39476,0.55365,0.43071,0.45315,0.3175,1.1679,1.35999,1.30827,0.008482,0.008482,0.008482
48,114909,1.27183,1.70147,1.39388,0.57372,0.42276,0.45422,0.31831,1.16675,1.35668,1.30635,0.008449,0.008449,0.008449
49,117816,1.2715,1.70259,1.39458,0.56311,0.43159,0.45578,0.31975,1.16541,1.35322,1.30449,0.008416,0.008416,0.008416
50,121406,1.26831,1.69736,1.39253,0.5705,0.429,0.45758,0.32091,1.16402,1.34945,1.30289,0.008383,0.008383,0.008383
51,124210,1.26846,1.69849,1.39147,0.57029,0.43078,0.45848,0.3219,1.16262,1.34629,1.3012,0.00835,0.00835,0.00835
52,126889,1.26616,1.69038,1.39043,0.57376,0.42938,0.45946,0.32295,1.16186,1.34363,1.30008,0.008317,0.008317,0.008317
53,129712,1.2663,1.68984,1.38839,0.56973,0.43306,0.46046,0.32361,1.16137,1.34109,1.29924,0.008284,0.008284,0.008284
54,132533,1.26547,1.68608,1.3888,0.56715,0.43813,0.46152,0.32418,1.15962,1.3382,1.29745,0.008251,0.008251,0.008251
55,135352,1.26269,1.68064,1.38591,0.57785,0.43384,0.46276,0.32512,1.15865,1.33516,1.29602,0.008218,0.008218,0.008218
56,138179,1.26343,1.68429,1.38542,0.57117,0.43626,0.46357,0.32607,1.15799,1.33188,1.29494,0.008185,0.008185,0.008185
57,141009,1.26252,1.67794,1.38389,0.57467,0.43665,0.46469,0.3271,1.15722,1.32997,1.29358,0.008152,0.008152,0.008152
58,143838,1.26054,1.67795,1.38308,0.57923,0.43741,0.46597,0.3278,1.15639,1.3282,1.29219,0.008119,0.008119,0.008119
59,146668,1.25986,1.67569,1.38201,0.57614,0.44243,0.46726,0.32867,1.15562,1.32577,1.29087,0.008086,0.008086,0.008086
60,149498,1.26128,1.67091,1.38121,0.57411,0.44483,0.46836,0.32959,1.1553,1.32337,1.29023,0.008053,0.008053,0.008053
61,152324,1.26015,1.66759,1.37935,0.5706,0.44778,0.46896,0.32999,1.15422,1.32139,1.28884,0.00802,0.00802,0.00802
62,155041,1.25982,1.66633,1.37903,0.57103,0.44756,0.46954,0.33026,1.15429,1.3192,1.28838,0.007987,0.007987,0.007987
63,157660,1.25945,1.66728,1.37903,0.57412,0.44696,0.46982,0.33074,1.15294,1.31671,1.2867,0.007954,0.007954,0.007954
64,160281,1.25727,1.66087,1.37787,0.5722,0.44778,0.47052,0.33122,1.15236,1.31534,1.28603,0.007921,0.007921,0.007921
65,162901,1.2568,1.66044,1.37836,0.58194,0.44459,0.47138,0.33172,1.15184,1.31305,1.28552,0.007888,0.007888,0.007888
66,165521,1.25668,1.655,1.37587,0.58143,0.44521,0.47205,0.33253,1.15153,1.31051,1.28471,0.007855,0.007855,0.007855
67,167630,1.25474,1.65522,1.3736,0.5855,0.44608,0.47257,0.33306,1.15042,1.30879,1.28306,0.007822,0.007822,0.007822
68,169869,1.25376,1.65175,1.37316,0.58706,0.44521,0.47349,0.33343,1.14969,1.30603,1.2821,0.007789,0.007789,0.007789
69,172425,1.25354,1.65372,1.375,0.58876,0.44441,0.47398,0.33351,1.14862,1.30436,1.28103,0.007756,0.007756,0.007756
70,174981,1.25231,1.64927,1.37156,0.58513,0.44742,0.47404,0.33378,1.14797,1.30285,1.28009,0.007723,0.007723,0.007723
71,177539,1.2502,1.64958,1.372,0.58882,0.44694,0.47494,0.33446,1.14717,1.30171,1.27935,0.00769,0.00769,0.00769
72,180101,1.2521,1.64846,1.37171,0.59212,0.44664,0.47578,0.33547,1.14655,1.30006,1.27829,0.007657,0.007657,0.007657
73,182660,1.25065,1.64613,1.37097,0.59365,0.44698,0.47701,0.33616,1.14612,1.2981,1.27772,0.007624,0.007624,0.007624
74,185211,1.24937,1.63999,1.36884,0.58999,0.4483,0.47816,0.3369,1.14573,1.29739,1.27712,0.007591,0.007591,0.007591
75,187767,1.25044,1.64242,1.36896,0.59412,0.44853,0.47929,0.3377,1.14582,1.29621,1.27652,0.007558,0.007558,0.007558
76,190327,1.24939,1.64047,1.36824,0.58953,0.44889,0.47916,0.3374,1.14596,1.29489,1.27609,0.007525,0.007525,0.007525
77,192693,1.24761,1.63891,1.36683,0.59053,0.45039,0.4798,0.33822,1.14579,1.2933,1.27566,0.007492,0.007492,0.007492
78,194467,1.24768,1.63795,1.36612,0.59241,0.4504,0.48086,0.33867,1.14568,1.29172,1.27524,0.007459,0.007459,0.007459
79,196246,1.24563,1.63178,1.36322,0.59146,0.45338,0.48157,0.33896,1.14456,1.29058,1.27381,0.007426,0.007426,0.007426
80,198020,1.24717,1.62967,1.36482,0.59277,0.45257,0.48175,0.33934,1.14419,1.28783,1.27319,0.007393,0.007393,0.007393
81,199790,1.24494,1.63236,1.36342,0.59439,0.45162,0.48199,0.33963,1.14291,1.28632,1.27217,0.00736,0.00736,0.00736
82,201562,1.24557,1.62918,1.36336,0.58986,0.45298,0.48249,0.34001,1.14209,1.28483,1.27136,0.007327,0.007327,0.007327
83,203333,1.24417,1.62566,1.36297,0.58911,0.45316,0.48273,0.33987,1.14146,1.28337,1.27041,0.007294,0.007294,0.007294
84,205106,1.24261,1.62568,1.36033,0.59034,0.4527,0.48316,0.34053,1.14102,1.28205,1.26946,0.007261,0.007261,0.007261
85,206872,1.24412,1.62313,1.36124,0.59474,0.45023,0.48348,0.34081,1.14075,1.28071,1.26864,0.007228,0.007228,0.007228
86,208645,1.24117,1.62177,1.35967,0.59572,0.4503,0.48388,0.34173,1.14018,1.27918,1.26774,0.007195,0.007195,0.007195
87,210406,1.24219,1.6212,1.35945,0.59981,0.45014,0.48463,0.34176,1.13988,1.27867,1.26724,0.007162,0.007162,0.007162
88,212167,1.24094,1.61561,1.35778,0.60528,0.44846,0.48515,0.34211,1.13992,1.27781,1.26671,0.007129,0.007129,0.007129
89,213934,1.23992,1.6153,1.35729,0.60626,0.44726,0.48523,0.34231,1.13989,1.27736,1.26623,0.007096,0.007096,0.007096
