epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23206.3,1.11402,1.50203,1.46269,0.72262,0.64321,0.72063,0.51124,1.03672,1.08322,1.37452,0.008614,0.008614,0.008614
44,23732.6,1.10864,1.48331,1.45892,0.73505,0.63865,0.72191,0.51219,1.03634,1.07581,1.37276,0.008581,0.008581,0.008581
45,24317.7,1.09784,1.47576,1.45035,0.72442,0.64597,0.72282,0.5136,1.03522,1.071,1.37132,0.008548,0.008548,0.008548
46,24823.6,1.09942,1.48036,1.45329,0.71955,0.64705,0.72403,0.51568,1.0299,1.06623,1.36782,0.008515,0.008515,0.008515
47,25341.2,1.098,1.4542,1.45216,0.71767,0.64982,0.72389,0.51646,1.02755,1.0639,1.36487,0.008482,0.008482,0.008482
48,25926.5,1.09119,1.45142,1.44188,0.7134,0.66058,0.72633,0.51965,1.0263,1.05782,1.36222,0.008449,0.008449,0.008449
49,26430.4,1.09125,1.44256,1.44124,0.71194,0.66742,0.72933,0.52314,1.02394,1.05036,1.35869,0.008416,0.008416,0.008416
50,26943.3,1.0818,1.44715,1.4388,0.7247,0.66027,0.73016,0.52438,1.0204,1.04555,1.35627,0.008383,0.008383,0.008383
51,27534.7,1.08099,1.43153,1.43513,0.73079,0.65665,0.73219,0.52611,1.01853,1.04005,1.35456,0.00835,0.00835,0.00835
52,28038.2,1.08169,1.42954,1.43234,0.72772,0.66294,0.73431,0.52739,1.01564,1.03537,1.35196,0.008317,0.008317,0.008317
53,28545.1,1.08219,1.42259,1.43212,0.73839,0.65778,0.73622,0.52936,1.01563,1.02925,1.35103,0.008284,0.008284,0.008284
54,29133.9,1.07785,1.41755,1.42903,0.73283,0.66841,0.73958,0.53145,1.01286,1.02348,1.34818,0.008251,0.008251,0.008251
55,29635,1.07067,1.41638,1.42869,0.73871,0.66524,0.74056,0.53337,1.01124,1.01986,1.34656,0.008218,0.008218,0.008218
56,30140,1.07214,1.4087,1.42669,0.73204,0.67502,0.74282,0.53549,1.01014,1.01539,1.34523,0.008185,0.008185,0.008185
57,30733.9,1.06848,1.39316,1.41939,0.73566,0.67195,0.74396,0.53681,1.00811,1.01131,1.34251,0.008152,0.008152,0.008152
58,31236.7,1.06648,1.39039,1.42031,0.73722,0.67148,0.7453,0.53805,1.00647,1.00816,1.34088,0.008119,0.008119,0.008119
59,31749.9,1.0604,1.38393,1.41135,0.73752,0.67358,0.74651,0.53909,1.00548,1.00502,1.33909,0.008086,0.008086,0.008086
60,32352.7,1.06598,1.38292,1.41356,0.74507,0.6737,0.74823,0.54019,1.00466,1.0022,1.33764,0.008053,0.008053,0.008053
61,32867.4,1.05618,1.36717,1.40579,0.74264,0.67297,0.74856,0.54122,1.00348,0.99874,1.33613,0.00802,0.00802,0.00802
62,33382.6,1.05507,1.36574,1.40665,0.74588,0.67138,0.74927,0.54199,1.00238,0.99592,1.33456,0.007987,0.007987,0.007987
63,33981.8,1.05334,1.3595,1.40112,0.749,0.67199,0.75125,0.54295,1.00195,0.99323,1.3336,0.007954,0.007954,0.007954
64,34495.6,1.05429,1.35494,1.40034,0.75038,0.6705,0.75192,0.54399,1.00044,0.99185,1.33175,0.007921,0.007921,0.007921
65,35008,1.04467,1.35812,1.39643,0.74823,0.67162,0.75283,0.5452,0.99903,0.9892,1.32998,0.007888,0.007888,0.007888
66,35610.9,1.04779,1.34566,1.39634,0.7445,0.67575,0.75342,0.54547,0.99734,0.98684,1.32792,0.007855,0.007855,0.007855
67,36128.7,1.04939,1.34147,1.39686,0.742,0.6787,0.75373,0.54603,0.99691,0.98506,1.32685,0.007822,0.007822,0.007822
68,36640.5,1.04591,1.33573,1.39245,0.74378,0.68076,0.75427,0.54674,0.99595,0.98297,1.32563,0.007789,0.007789,0.007789
